Kode,info_longName,info_sector,info_industry,info_marketCap,info_category,trading_recommendation,technical_trend,technical_momentum,technical_signal,price_action_market_structure,price_action_market_total_zones,fundamental_score,fundamental_rating,valuation_score,valuation_conclusion,valuation_reason,valuation_notes,info_website
BLTZ.JK,PT Graha Layar Prima Tbk,Communication Services,Entertainment,2508199559168.0,Kecil,WAIT,SIDEWAYS,NETRAL,NO TRADE,LL,2.0,20.0,BURUK 🔴,0.0,SAHAM MAHAL 🔴,Berbagai indikator valuasi menunjukkan harga relatif mahal,❌ PBV sangat tinggi,https://www.cgv.id
BMTR.JK,PT Global Mediacom Tbk,Communication Services,Entertainment,2730869391360.0,Kecil,WAIT,BULLISH,KUAT (BULLISH),BUY,LL,23.0,20.0,BURUK 🔴,40.0,SAHAM WAJAR 🟡,Harga dalam kisaran wajar berdasarkan valuasi,✅ PER sangat rendah (murah)|✅ Harga di bawah nilai buku (murah),https://mediacom.co.id
MORA.JK,PT Mora Telematika Indonesia Tbk,Communication Services,Telecom Services,334600366718976.0,Bluechip,WAIT,BULLISH,KUAT (BULLISH),BUY,LL,27.0,20.0,BURUK 🔴,0.0,SAHAM MAHAL 🔴,Berbagai indikator valuasi menunjukkan harga relatif mahal,❌ PER tinggi (mahal)|❌ PBV sangat tinggi,https://www.moratelindo.co.id
HELI.JK,PT Jaya Trishindo Tbk,Industrials,Airports & Air Services,189892624384.0,Kecil,WAIT,BEARISH,NETRAL,NO TRADE,LL,18.0,20.0,BURUK 🔴,25.0,SAHAM MAHAL 🔴,Berbagai indikator valuasi menunjukkan harga relatif mahal,✅ PER sangat rendah (murah)|⚠️ PBV agak tinggi,https://www.jatigroup.com
SAME.JK,PT Sarana Meditama Metropolitan Tbk,Healthcare,Medical Care Facilities,6004559314944.0,Kecil,WAIT,SIDEWAYS,NETRAL,NO TRADE,LL,32.0,20.0,BURUK 🔴,10.0,SAHAM MAHAL 🔴,Berbagai indikator valuasi menunjukkan harga relatif mahal,❌ PER tinggi (mahal)|✅ PBV wajar,https://www.emc.id
GOTO.JK,PT GoTo Gojek Tokopedia Tbk,Technology,Software - Infrastructure,69855357173760.0,Menengah,WAIT,SIDEWAYS,NETRAL,NO TRADE,LL,17.0,20.0,BURUK 🔴,25.0,SAHAM MAHAL 🔴,Berbagai indikator valuasi menunjukkan harga relatif mahal,✅ PER sangat rendah (murah)|⚠️ PBV agak tinggi,https://www.gotocompany.com
ARTI.JK,"PT. Ratu Prabu Energi, Tbk",Energy,Oil & Gas Equipment & Services,15680000000.0,Kecil,WAIT,SIDEWAYS,KUAT (BULLISH),NO TRADE,LL,0.0,20.0,BURUK 🔴,40.0,SAHAM WAJAR 🟡,Harga dalam kisaran wajar berdasarkan valuasi,✅ PER sangat rendah (murah)|✅ Harga di bawah nilai buku (murah),https://www.ratuprabuenergi.com
PDPP.JK,PT Primadaya Plastisindo Tbk,Consumer Cyclical,Packaging & Containers,1034733420544.0,Kecil,WAIT,BEARISH,NETRAL,NO TRADE,HL,27.0,20.0,BURUK 🔴,20.0,SAHAM MAHAL 🔴,Berbagai indikator valuasi menunjukkan harga relatif mahal,❌ PER tinggi (mahal)|⚠️ PBV agak tinggi|✅ Dividend yield tinggi,https://pt-pdp.com
HDFA.JK,PT Radana Bhaskara Finance Tbk,Financial Services,Credit Services,883230179328.0,Kecil,WAIT,BEARISH,NETRAL,NO TRADE,HL,31.0,20.0,BURUK 🔴,10.0,SAHAM MAHAL 🔴,Berbagai indikator valuasi menunjukkan harga relatif mahal,✅ PBV wajar,https://www.radanafinance.co.id
RICY.JK,PT Ricky Putra Globalindo Tbk,Consumer Cyclical,Apparel Manufacturing,75722661888.0,Kecil,WAIT,BULLISH,KUAT (BULLISH),BUY,HL,14.0,20.0,BURUK 🔴,20.0,SAHAM MAHAL 🔴,Berbagai indikator valuasi menunjukkan harga relatif mahal,✅ Harga di bawah nilai buku (murah),https://www.rpg.co.id
GEMA.JK,PT Gema Grahasarana Tbk,Consumer Cyclical,"Furnishings, Fixtures & Appliances",155199995904.0,Kecil,WAIT,SIDEWAYS,NETRAL,NO TRADE,LL,30.0,20.0,BURUK 🔴,55.0,SAHAM WAJAR 🟡,Harga dalam kisaran wajar berdasarkan valuasi,✅ PER sangat rendah (murah)|✅ Harga di bawah nilai buku (murah)|✅ Dividend yield tinggi,https://www.vivere.co.id
CLAY.JK,PT Citra Putra Realty Tbk,Consumer Cyclical,Lodging,6296499650560.0,Kecil,WAIT,SIDEWAYS,NETRAL,NO TRADE,LL,36.0,20.0,BURUK 🔴,0.0,SAHAM MAHAL 🔴,Berbagai indikator valuasi menunjukkan harga relatif mahal,❌ PBV sangat tinggi,https://cpr.co.id
SONA.JK,PT Sona Topas Tourism Industry Tbk,Consumer Cyclical,Travel Services,1603007938560.0,Kecil,WAIT,SIDEWAYS,KUAT (BULLISH),NO TRADE,HL,37.0,20.0,BURUK 🔴,10.0,SAHAM MAHAL 🔴,Berbagai indikator valuasi menunjukkan harga relatif mahal,⚠️ PER sedang|⚠️ PBV agak tinggi,https://www.sonatopas.co.id/new/
WSBP.JK,PT Waskita Beton Precast Tbk,Basic Materials,Building Materials,1483250335744.0,Kecil,WAIT,BULLISH,NETRAL,BUY,LL,5.0,20.0,BURUK 🔴,20.0,SAHAM MAHAL 🔴,Berbagai indikator valuasi menunjukkan harga relatif mahal,✅ Harga di bawah nilai buku (murah),https://www.waskitaprecast.co.id
TPIA.JK,PT Chandra Asri Pacific Tbk,Basic Materials,Specialty Chemicals,605527373512704.0,Bluechip,WAIT,SIDEWAYS,NETRAL,NO TRADE,HL,39.0,20.0,BURUK 🔴,20.0,SAHAM MAHAL 🔴,Berbagai indikator valuasi menunjukkan harga relatif mahal,⚠️ PER sedang|❌ PBV sangat tinggi|✅ Dividend yield tinggi,https://www.chandra-asri.com
MINA.JK,PT Sanurhasta Mitra Tbk,Consumer Cyclical,Lodging,5906250072064.0,Kecil,WAIT,BULLISH,KUAT (BULLISH),BUY,LL,29.0,20.0,BURUK 🔴,0.0,SAHAM MAHAL 🔴,Berbagai indikator valuasi menunjukkan harga relatif mahal,❌ PBV sangat tinggi,https://sanurhastamitra.com
ELTY.JK,PT Bakrieland Development Tbk,Real Estate,Real Estate Services,3525275025408.0,Kecil,WAIT,BULLISH,KUAT (BULLISH),BUY,LL,4.0,20.0,BURUK 🔴,20.0,SAHAM MAHAL 🔴,Berbagai indikator valuasi menunjukkan harga relatif mahal,❌ PER tinggi (mahal)|✅ Harga di bawah nilai buku (murah),https://bakrieland.com
BBYB.JK,PT Bank Neo Commerce Tbk,Financial Services,Banks - Regional,6741993455616.0,Kecil,WAIT,BULLISH,NETRAL,NO TRADE,HL,33.0,20.0,BURUK 🔴,25.0,SAHAM MAHAL 🔴,Berbagai indikator valuasi menunjukkan harga relatif mahal,✅ PER rendah|✅ PBV wajar,https://www.bankneocommerce.co.id
